symbol,ts,open,high,low,close,volume,count
ETH,2026-05-20 16:00:00+00:00,2136.0,2148.2,2123.3,2138.3,30807.9825,21266
ETH,2026-05-20 20:00:00+00:00,2138.5,2140.1,2117.4,2129.1,46791.9073,18939
ETH,2026-05-21 00:00:00+00:00,2129.0,2156.7,2127.9,2145.4,82966.2247,22917
ETH,2026-05-21 04:00:00+00:00,2145.5,2148.5,2123.9,2134.7,31530.8151,15256
ETH,2026-05-21 08:00:00+00:00,2134.5,2147.6,2108.7,2114.0,61190.7553,24336
ETH,2026-05-21 12:00:00+00:00,2114.1,2137.9,2104.2,2131.9,77416.0202,31457
ETH,2026-05-21 16:00:00+00:00,2131.9,2153.0,2120.3,2142.7,113168.6204,36870
ETH,2026-05-21 20:00:00+00:00,2142.7,2143.0,2126.5,2133.1,22917.09,12653
ETH,2026-05-22 00:00:00+00:00,2133.3,2140.7,2124.7,2137.1,13665.817,12596
ETH,2026-05-22 04:00:00+00:00,2137.1,2140.9,2121.6,2128.1,17482.005,12061
ETH,2026-05-22 08:00:00+00:00,2128.0,2133.0,2118.2,2130.2,44131.4682,17641
ETH,2026-05-22 12:00:00+00:00,2130.3,2137.5,2111.5,2119.1,47648.8455,26081
ETH,2026-05-22 16:00:00+00:00,2119.0,2129.1,2056.2,2064.7,198500.1656,50491
ETH,2026-05-22 20:00:00+00:00,2064.6,2078.7,2056.2,2064.8,95934.7978,29466
ETH,2026-05-23 00:00:00+00:00,2064.9,2071.2,2052.1,2069.9,58174.7726,22703
ETH,2026-05-23 04:00:00+00:00,2070.0,2070.4,2008.5,2027.6,88225.7219,25210
ETH,2026-05-23 08:00:00+00:00,2027.5,2034.4,2020.2,2030.4,51241.7572,22460
ETH,2026-05-23 12:00:00+00:00,2030.4,2067.6,2025.7,2059.0,62721.944,27419
ETH,2026-05-23 16:00:00+00:00,2058.9,2081.8,2056.0,2076.3,44979.1778,24313
ETH,2026-05-23 20:00:00+00:00,2076.3,2149.0,2073.7,2116.8,262932.7673,61977
ETH,2026-05-24 00:00:00+00:00,2116.8,2126.2,2112.4,2118.4,25130.7702,14083
ETH,2026-05-24 04:00:00+00:00,2118.2,2129.5,2112.9,2120.3,12454.8125,9952
ETH,2026-05-24 08:00:00+00:00,2120.4,2130.0,2118.5,2124.7,16926.6408,11516
ETH,2026-05-24 12:00:00+00:00,2125.2,2125.7,2078.5,2094.6,59750.3576,24011
ETH,2026-05-24 16:00:00+00:00,2094.6,2108.0,2094.0,2099.7,26527.4415,12985
ETH,2026-05-24 20:00:00+00:00,2099.7,2105.8,2061.4,2098.6,82283.1993,32967
ETH,2026-05-25 00:00:00+00:00,2098.6,2112.3,2091.0,2094.0,57257.6059,22072
ETH,2026-05-25 04:00:00+00:00,2094.1,2116.6,2090.9,2115.0,49786.8249,21584
ETH,2026-05-25 08:00:00+00:00,2115.0,2123.2,2110.7,2113.9,16162.1555,11013
ETH,2026-05-25 12:00:00+00:00,2114.0,2136.8,2111.4,2126.1,52167.906,18736
ETH,2026-05-25 16:00:00+00:00,2126.2,2141.0,2115.1,2120.7,27941.3249,13536
